company_name,industry_type
대방건설,"주거용 건물 건설업,단독 주택 건설업,주거용 건물 개발 및 공급업,건설·시공·토목·조경"
푸르덴셜생명보험,생명 보험업
원익 IPS,"반도체·디스플레이·광학,반도체 제조용 기계 제조업"
매일유업,"액상시유 및 기타 낙농제품 제조업,낙농품 및 동.식물성 유지 도매업,,음료 소매업,쇼핑몰·오픈마켓·소셜커머스"
일진디스플레이,액정 표시장치 제조업
GS25,"음식료·외식·프랜차이즈,,백화점·유통·도소매"
한국전기안전공사,"기타 엔지니어링 서비스업,그 외 기타 분류 안된 상품 전문 소매업"
휴온스,"완제 의약품 제조업,제약·보건·바이오,식품가공"
SSLM,
신흥,"의료기기 도매업,박판, 합판 및 유사 적층판 제조업,목재 포장용 상자, 드럼 및 유사용기 제조업,그 외 기타 분류 안된 사업지원 서비스업,,다이오드, 트랜지스터 및 유사 반도체소자 제조업,화학섬유직물 직조업"
애프코코리아,
한국남부발전,화력 발전업
LG엔시스,
케이피에프,"볼트 및 너트류 제조업,전기·전자·제어,백화점·유통·도소매"
한국산업인력관리공단,
아모레퍼시픽,"화장품 제조업,화장품 및 화장용품 도매업"
한국벤처투자,"은행·금융,기타 금융 투자업,컨설팅·연구·조사,공기업·공공기관,경영 컨설팅업"
흥아타이어,자동차 신품 타이어 및 튜브 판매업
신용보증기금(고졸),
유한양행,"생활화학·화장품,완제 의약품 제조업"
동원시스템즈,"포장용 플라스틱제품 제조업,,화학·에너지·환경"
더마프로,생활화학·화장품
비씨엠정보통신,컴퓨터 및 주변 기기 수리업
SK네트웍스,"상품 종합 도매업,렌탈·임대·리스,네트워크·통신서비스,통신장비 수리업,백화점·유통·도소매"
종로학평,"일반 서적 출판업,출판·인쇄·사진"
spc 그룹,"백화점·유통·도소매,음식료·외식·프랜차이즈,기타 가공식품 도매업,사업시설 유지.관리 서비스업,빵류 제조업,합성수지 및 기타 플라스틱 물질 제조업"
이투스교육,"일반 교과 학원,학원·어학원·교육원,"
탑엔지니어링,"일반 통신 공사업,건설·시공·토목·조경,디스플레이 제조용 기계 제조업,건물용 기계.장비 설치 공사업,기타 엔지니어링 서비스업,콘크리트 및 철근 공사업,건물 및 토목 엔지니어링 서비스업,건물설비 설치 공사업"
통조림가공수협,
현대엠시트,자동차용 신품 의자 제조업
비티엘 메디컬 테크놀로지,
인터엠,"기타 음향기기 제조업,건축·설비·환경,그 외 기타 정보 서비스업,네트워크·통신서비스"
한국토지주택공사,"소방시설 공사업,기타 부동산 개발 및 공급업,공기업·공공기관,콘크리트 및 철근 공사업,건설·시공·토목·조경,"
넥센타이어,"타이어 및 튜브 제조업,정비·A/S·카센터,전자상거래 소매 중개업"
해커스,"학원·어학원·교육원,그 외 기타 분류 안된 사업지원 서비스업,외국어학원,시스템 소프트웨어 개발 및 공급업,온라인 교육 학원,기타 교육지원 서비스업,기타 기술 및 직업훈련학원"
AJ가족,"기계·기계설비,컴퓨터 및 사무용 기계.장비 임대업,음식료·외식·프랜차이즈"
한국콜마,"생활화학·화장품,지주회사"
한국가스안전공사,공기업·공공기관
KT,"유선 통신업,스포츠 클럽 운영업,네트워크·통신서비스,데이터베이스 및 온라인정보 제공업"
롯데제이티비,스포츠·여가·레저
서울국제청소년영화제,
데상트코리아,"섬유·의류·패션,남녀용 겉옷 및 셔츠 도매업,백화점·유통·도소매,그 외 기타 전문, 과학 및 기술 서비스업,기타 의복 소매업,,상품 종합 중개업"
KCC,"건물 건설업,일반용 도료 및 관련제품 제조업,컴퓨터시스템 통합 자문 및 구축 서비스업,금속 문, 창, 셔터 및 관련제품 제조업,백화점·유통·도소매"
